Customer Email,Name,Stree1,Address1,Address2,City,State,Country
abc@gmail.com,Jon Doe,123 Nowhere St.,,,Highlands Ranch,'80130,CO,US
cde@gmail.com,Brandon Stiles,123 Nowhere St.,,,Austin,'78730,TX,US
def@gmail.com,Jane Doe,123 Nowhere St.,,,Lakewood,80226,CO,US
fge@gmail.com,Derick Petit-Blanc,123 Nowhere St.,,Apt 4,Rexburg,'83440,ID,US
ghi@gmail.com,Kim Smith,123 Nowhere St.,,Suite B 92,Huntington Beach,92647,CA,US
hij@gmail.com,,123 Nowhere St.,,,Winnfield,'71483,LA,US
jkl@gmail.com,Bill Bo,123 Nowhere St.,,#KJ74461,Gardena,90248,CA,US
klm@gmail.com,Tim McDonald,123 Nowhere St.,,,San Rafael,'94901,CA,US
mno@gmail.com,Gina Go,123 Nowhere St.,,,Cincinnati,45023,OH,US
nop@gmail.com,,123 Nowhere St.,,,San Rafael,'94901,CA,US
pqr@gmail.com,Tim Jones,123 Nowhere St.,,,HUME,93628,CA,US
qrs@gmial.com,,123 Nowhere St.,,,ARNCLIFFE,'2205,NSW,AU
ruweea@hotmail.com,Elizabeth walker,123 Nowhere St.,,,Highlands Ranch,80130,CO,US
stu@gmail.com,R Higgins,123 Nowhere St.,,,Dimondale,48821,MI,US
vwx@gmail.com,Aiden Nichols,123 Nowhere St.,,,Eugene,'97404,OR,US
zab@gmail.com,Vaughn Miller,123 Nowhere St.,,,Iluka,'6028,WA,AU
